FileNum,Date,Time,Size,FileName,RelPath,AbsPath,Code
2,03/24/2013,12:00 AM,77409,$savepcb.brd,\Screwduino\Screwduino KiCAD,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\Screwduino\Screwduino KiCAD,name/size/path match
1,09/05/2013,09:27 PM,112690,$savepcb.brd,\Screwduino\Screwduino KiCAD\screwduinov2,C:\Users\Doug\Documents\DougsPCBDesigns\Screwduino\Screwduino KiCAD\screwduinov2,name/size/path match
2,03/24/2013,12:00 AM,112690,$savepcb.brd,\Screwduino\Screwduino KiCAD\screwduinov2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\Screwduino\Screwduino KiCAD\screwduinov2,name/size/path match
1,09/05/2013,09:27 PM,25680,$savepcb.brd,\Softstart,C:\Users\Doug\Documents\DougsPCBDesigns\Softstart,name/size/path match
2,03/24/2013,12:00 AM,25680,$savepcb.brd,\Softstart,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\Softstart,name/size/path match
1,09/05/2013,09:27 PM,25053,$savepcb.brd,\Softstart\SoftStartV2,C:\Users\Doug\Documents\DougsPCBDesigns\Softstart\SoftStartV2,name/size/path match
2,03/24/2013,12:00 AM,25053,$savepcb.brd,\Softstart\SoftStartV2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\Softstart\SoftStartV2,name/size/path match
1,09/05/2013,09:27 PM,13406,$savepcb.brd,\Sw5Way,C:\Users\Doug\Documents\DougsPCBDesigns\Sw5Way,name/size/path match
2,03/24/2013,12:00 AM,13406,$savepcb.brd,\Sw5Way,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\Sw5Way,name/size/path match
1,09/05/2013,09:27 PM,61687,$savepcb.brd,\TinyDuino85,C:\Users\Doug\Documents\DougsPCBDesigns\TinyDuino85,name/size/path match
2,03/24/2013,12:00 AM,61687,$savepcb.brd,\TinyDuino85,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\TinyDuino85,name/size/path match
1,09/05/2013,09:27 PM,59837,$savepcb.brd,\TinyDuino85\TinyDuino85-X1,C:\Users\Doug\Documents\DougsPCBDesigns\TinyDuino85\TinyDuino85-X1,name/size/path match
2,03/24/2013,12:00 AM,59837,$savepcb.brd,\TinyDuino85\TinyDuino85-X1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\TinyDuino85\TinyDuino85-X1,name/size/path match
1,09/05/2013,09:27 PM,65158,$savepcb.brd,\ToidUino,C:\Users\Doug\Documents\DougsPCBDesigns\ToidUino,name/size/path match
2,03/24/2013,12:00 AM,65158,$savepcb.brd,\ToidUino,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\ToidUino,name/size/path match
1,09/05/2013,09:27 PM,35914,$savepcb.brd,\XR-2206\KiCAD\XR2206-V1,C:\Users\Doug\Documents\DougsPCBDesigns\XR-2206\KiCAD\XR2206-V1,name/size/path match
2,03/24/2013,12:00 AM,35914,$savepcb.brd,\XR-2206\KiCAD\XR2206-V1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\XR-2206\KiCAD\XR2206-V1,name/size/path match
1,09/05/2013,09:27 PM,21488,.kicad_pcb.kicad_pcb,\LED-Lamp,C:\Users\Doug\Documents\DougsPCBDesigns\LED-Lamp,name/size/path match
2,03/23/2013,11:59 PM,21488,.kicad_pcb.kicad_pcb,\LED-Lamp,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\LED-Lamp,name/size/path match
1,09/05/2013,09:27 PM,85,.~lock.RC-xr-2206.ods#,\Theremin,C:\Users\Doug\Documents\DougsPCBDesigns\Theremin,name/size/path match
2,03/24/2013,12:00 AM,85,.~lock.RC-xr-2206.ods#,\Theremin,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\Theremin,name/size/path match
1,10/25/2013,05:47 PM,168279,0001,\.git\rebase-apply,C:\Users\Doug\Documents\DougsPCBDesigns\.git\rebase-apply,size mismatch
2,08/30/2013,10:06 AM,13102399,0001,\.git\rebase-apply,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\.git\rebase-apply,size mismatch
1,09/05/2013,09:27 PM,138356,00971a.pdf,\ToidUino\parts\lipo charger,C:\Users\Doug\Documents\DougsPCBDesigns\ToidUino\parts\lipo charger,name/size/path match
2,03/24/2013,12:00 AM,138356,00971a.pdf,\ToidUino\parts\lipo charger,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\ToidUino\parts\lipo charger,name/size/path match
2,06/28/2013,05:31 PM,59647,00987d585e14e872d18e2a078c5a8c76360f59,\.git\objects\13,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\.git\objects\13,Missing file
1,10/11/2013,06:52 PM,4772,018163746cec3bb1c74e4a7d871674bf1df53b,\.git\objects\8a,C:\Users\Doug\Documents\DougsPCBDesigns\.git\objects\8a,Missing file
2,04/26/2013,06:13 PM,1515,01880e82f0cad59fbcb90fcff43879e4a5ee89,\.git\objects\15,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\.git\objects\15,Missing file
2,07/09/2013,10:18 PM,16981,019fd813326a258910553fd5cf5c017c5e8990,\.git\objects\53,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\.git\objects\53,Missing file
1,10/11/2013,06:52 PM,19262,01a41cfc996856dbeff0a8150504d3426817f0,\.git\objects\77,C:\Users\Doug\Documents\DougsPCBDesigns\.git\objects\77,Missing file
1,09/26/2013,06:17 PM,820,01bb681a12b815d1bfe273c8b5331d8648d817,\.git\objects\69,C:\Users\Doug\Documents\DougsPCBDesigns\.git\objects\69,Missing file
1,09/05/2013,09:24 PM,22,01d8c71489,\BrBdPwrSply\BrBdPwrSplyV1\plots\OSH Park ~ PCB Order - Verify your design_files,C:\Users\Doug\Documents\DougsPCBDesigns\BrBdPwrSply\BrBdPwrSplyV1\plots\OSH Park ~ PCB Order - Verify your design_files,name/size/path match
2,03/23/2013,11:59 PM,22,01d8c71489,\BrBdPwrSply\BrBdPwrSplyV1\plots\OSH Park ~ PCB Order - Verify your design_files,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\BrBdPwrSply\BrBdPwrSplyV1\plots\OSH Park ~ PCB Order - Verify your design_files,name/size/path match
1,09/05/2013,09:24 PM,22,01d8c71489,\BrBdPwrSply\plots\OSH Park ~ PCB Order - Verify your design_files,C:\Users\Doug\Documents\DougsPCBDesigns\BrBdPwrSply\plots\OSH Park ~ PCB Order - Verify your design_files,name/size/path match
2,03/23/2013,11:59 PM,22,01d8c71489,\BrBdPwrSply\plots\OSH Park ~ PCB Order - Verify your design_files,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\BrBdPwrSply\plots\OSH Park ~ PCB Order - Verify your design_files,name/size/path match
1,09/05/2013,09:24 PM,22,01d8c71489,\DS18S20-LDR\plots\OSH Park ~ PCB Order - Verify your design_files,C:\Users\Doug\Documents\DougsPCBDesigns\DS18S20-LDR\plots\OSH Park ~ PCB Order - Verify your design_files,name/size/path match
2,03/23/2013,11:59 PM,22,01d8c71489,\DS18S20-LDR\plots\OSH Park ~ PCB Order - Verify your design_files,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\DS18S20-LDR\plots\OSH Park ~ PCB Order - Verify your design_files,name/size/path match
